Position,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,NPxG,NPxGA
1,Granada,10,6,2,2,17,10,20,11.95-5.05,11.84+1.84,13.80-6.20,9.72,11.1
2,Barcelona,9,6,1,2,23,10,19,13.50-9.50,10.35+0.35,14.21-4.79,13.5,8.87
3,Real Sociedad,10,6,1,3,17,10,19,14.84-2.16,10.27+0.27,15.96-3.04,12.61,9.53
4,Atletico Madrid,10,5,4,1,10,5,19,14.74+4.74,7.34+2.34,19.65+0.65,13.25,6.6
5,Sevilla,10,6,1,3,13,11,19,17.50+4.50,9.00-2.00,19.68+0.68,17.5,8.26
6,Real Madrid,9,5,3,1,16,9,18,16,9.86+0.86,16.71-1.29,16,9.12
7,Villarreal,10,5,2,3,24,14,17,20.99-3.01,10.43-3.57,21.11+4.11,18.76,8.2
8,Osasuna,10,3,5,2,10,9,14,13.42+3.42,10.66+1.66,15.39+1.39,12.67,10.66
9,Real Valladolid,10,3,5,2,10,9,14,11.21+1.21,14.73+5.73,11.81-2.19,9.72,13.99
10,Athletic Club,10,3,4,3,8,7,13,9.71+1.71,11.37+4.37,12.93-0.07,7.48,10.63
11,Getafe,10,3,4,3,14,14,13,12.05-1.95,11.91-2.09,13.64+0.64,10.56,10.43
12,Valencia,10,3,4,3,14,16,13,15.10+1.10,19.28+3.28,11.57-1.43,11.39,17.05
13,Levante,10,3,2,5,10,12,11,14.51+4.51,19.27+7.27,11.27+0.27,12.28,18.47
14,Alaves,10,3,2,5,8,13,11,9.85+1.85,14.40+1.40,12.08+1.08,9.11,11.42
15,Mallorca,10,3,1,6,7,13,10,9.62+2.62,14.94+1.94,9.61-0.39,8.87,11.22
16,Eibar,10,2,3,5,10,15,9,8.51-1.49,15.22+0.22,8.13-0.87,7.02,14.48
17,Celta Vigo,10,2,3,5,5,12,9,11.01+6.01,12.76+0.76,11.77+2.77,9.52,12.76
18,Real Betis,10,2,3,5,12,20,9,11.72-0.28,17.76-2.24,10.42+1.42,10.97,15.53
19,Espanyol,10,2,2,6,5,15,8,8.86+3.86,12.99-2.01,10.76+2.76,8.86,12.25
20,Leganes,10,1,2,7,5,14,5,11.92+6.92,12.60-1.40,12.72+7.72,11.12,10.37
